ID|hp|attack|defense|speed|special
Abra|25|20|15|90|105
Aerodactyl|80|105|65|130|60
Alakazam|55|50|45|120|135
Arbok|62|95|69|90|65
Arcanine|90|110|80|95|80
Armored_Mewtwo|106|190|100|130|154
Articuno|90|85|100|85|125
Beedrill|65|80|40|75|45
Bellsprout|50|75|35|40|70
Blastoise|79|83|100|78|85
Blastoise_S|100|83|100|78|85
Bulbasaur|45|49|49|45|65
Butterfree|60|45|50|70|80
Caterpie|45|30|35|45|20
Chansey|250|5|5|50|105
Charizard|78|84|78|100|85
Charizard_S|100|84|78|100|85
Charmander|39|52|43|65|50
Charmeleon|58|64|58|80|70
Clefable|95|70|73|60|95
Clefairy|70|45|48|35|60
Cloyster|50|95|180|70|85
Crobat|85|90|80|130|75
Cubone|50|50|95|35|40
Dewgong|90|70|80|70|95
Diglett|10|70|25|95|45
Ditto|48|48|48|48|48
Dodrio|60|110|70|100|60
Doduo|35|85|45|75|35
Dragonair|61|84|65|70|70
Dragonite|91|134|95|80|100
Dratini|41|64|45|50|50
Drowzee|60|48|45|42|90
Dugtrio|50|95|50|120|70
Eevee|70|65|65|55|70
Ekans|35|60|44|55|40
Electabuzz|65|93|57|105|95
Electabuzz_S|100|93|57|105|95
Electrode|60|50|70|140|80
Exeggcute|60|40|80|40|60
Exeggutor|95|95|85|55|125
Farfetchd|62|135|95|65|70
Fearow|65|90|65|100|61
Flareon|65|130|60|65|110
Gastly|30|35|30|80|100
Gengar|60|65|60|110|130
Geodude|40|80|100|20|30
Gloom|70|65|70|40|85
Golbat|75|80|70|100|75
Goldeen|45|67|60|63|50
Golduck|80|82|78|85|80
Golem|80|110|130|45|55
Graveler|55|95|115|35|45
Grimer|80|80|50|25|40
Growlithe|55|70|45|60|50
Gyarados|95|125|79|81|100
Haunter|45|50|45|95|115
Heracross|80|125|75|85|75
Hitmonchan|85|50|65|90|120
Hitmonlee|85|120|70|90|45
Hooh|106|130|90|90|134
Horsea|30|40|70|60|70
Houndoom|75|90|50|95|110
Houndour|45|60|30|65|75
Hypno|85|73|70|67|115
Ivysaur|60|62|63|60|80
Jigglypuff|115|45|20|20|25
Jolteon|65|65|60|130|110
Jynx|70|50|75|95|105
Kabuto|30|80|90|55|45
Kabutops|60|115|105|80|70
Kadabra|40|35|30|105|120
Kakuna|45|25|50|35|25
Kangaskhan|105|95|80|90|40
Kingdra|75|95|95|85|95
Kingler|55|130|115|75|50
Koffing|40|65|95|35|60
Krabby|30|105|90|50|25
Lapras|130|85|80|60|95
Larvitar|50|64|50|41|47
Lickitung|95|70|85|30|75
Machamp|90|130|80|55|65
Machoke|80|100|70|45|50
Machop|70|80|50|35|35
Magikarp|20|10|55|80|20
Magmar|75|95|57|93|95
Magmar_S|100|95|57|93|95
Magnemite|25|35|70|45|95
Magneton|65|60|95|70|120
Mankey|40|80|35|70|35
Marowak|60|80|110|45|80
Marowrath|85|80|110|50|100
Meowth|40|45|35|90|40
Metapod|50|20|55|30|25
Mew|100|100|100|100|100
Mewtwo|106|110|90|130|154
Misdreavus|60|60|60|85|85
Missingno|128|128|128|128|128
Moltres|90|100|90|90|125
Mrmime|80|45|65|90|100
Muk|105|105|75|50|85
Nidoking|81|92|77|85|75
Nidoqueen|90|82|87|76|75
Nidoranf|55|47|52|41|40
Nidoranm|46|57|40|50|40
Nidorina|70|62|67|56|55
Nidorino|61|72|57|65|55
Ninetales|73|76|75|100|100
Ninetales_S|100|76|75|100|100
Oddish|45|50|55|30|75
Omanyte|35|40|100|35|90
Omastar|75|60|125|55|115
Onix|75|80|160|85|65
Paras|35|70|55|25|55
Parasect|100|95|85|30|90
Persian|75|90|60|115|65
Pidgeot|83|80|75|91|70
Pidgeotto|63|60|55|71|50
Pidgey|40|45|40|56|35
Pikachu|35|55|30|90|50
Pinsir|65|125|100|85|55
Poliwag|40|50|40|90|40
Poliwhirl|65|65|65|90|50
Poliwrath|90|85|95|70|70
Ponyta|50|85|55|100|65
Porygon|75|70|70|40|95
Primeape|70|115|60|95|60
Psyduck|50|52|48|55|50
Pupitar|70|84|70|51|77
Raichu|60|90|55|100|90
Rapidash|65|100|70|115|80
Raticate|55|81|60|97|50
Rattata|30|56|35|72|25
Rhydon|105|130|120|40|45
Rhyhorn|80|85|95|25|30
Sandshrew|50|75|85|40|30
Sandslash|75|100|110|65|55
Scizor|70|130|100|65|70
Scizor_S|100|130|100|65|70
Scyther|70|110|80|105|55
Seadra|55|65|95|85|95
Seaking|80|92|65|68|80
Seel|65|45|55|45|70
Shellder|30|65|100|40|45
Slowbro|95|75|110|30|90
Slowpoke|90|65|65|15|40
Sneasel|70|90|65|110|100
Snorlax|160|110|65|30|65
Spearow|40|60|30|70|31
Squirtle|44|48|65|43|50
Starmie|60|75|85|115|100
Staryu|30|45|55|85|70
Steelix|75|90|200|30|60
Tangela|65|55|115|60|100
Tauros|75|100|95|110|70
Tentacool|40|40|35|70|100
Tentacruel|80|70|65|100|120
Tyranitar|100|134|110|61|97
Umbreon|95|65|110|65|110
Vaporeon|130|65|60|65|110
Venomoth|70|75|60|100|95
Venonat|60|55|50|45|40
Venusaur|80|82|83|80|100
Venusaur_S|100|82|83|80|100
Victreebel|80|105|65|70|100
Vileplume|95|80|85|50|100
Voltorb|40|30|50|100|55
Vulpix|45|41|45|75|70
Wartortle|59|63|80|58|65
Weedle|40|35|30|50|20
Weepinbell|65|90|50|55|85
Weezing|65|90|120|60|85
Wigglytuff|140|70|55|45|85
Zapdos|90|90|85|100|125
Zubat|40|45|35|55|40
